#gen      BHL
          25     76.2796
          26     76.2583
          27     76.5151
          28     77.4105
          29      75.976
          30     75.9889
          31     76.1377
          32     75.3092
          33     74.8352
          34      76.403
          35     75.5937
          36     74.8939
          37     73.6806
          38     73.9641
          39     73.3386
          40     73.3948
          41     72.6407
          42     72.0115
          43     73.0231
          44      73.044
          45     72.7668
          46     72.7671
          47     73.0505
          48     73.9903
          49     73.1615
          50      73.596
          51     73.2041
          52     73.1829
          53     74.3002
          54     75.0395
          55      75.516
          56     73.5045
          57     74.0534
          58     73.6218
          59     74.1732
          60       75.85
          61     75.4683
          62     74.8943
          63     74.9373
          64     73.8148
          65     73.4781
          66     72.9977
          67     73.3127
          68     72.9903
          69     73.1795
          70     73.0895
          71      73.135
          72     73.9487
          73      73.067
          74     75.1262
          75     74.2096
          76     74.4454
          77     74.1595
          78     73.5087
          79     75.1151
          80     74.0892
          81     73.8031
          82     73.7468
          83     73.4185
          84     73.2461
          85     73.0508
          86     72.6243
          87      74.103
          88     74.5713
          89     73.9724
          90      75.014
          91     74.1354
          92     73.6838
          93      72.502
          94     72.9227
          95     73.1973
          96     73.4652
          97     72.6884
          98     73.1492
          99     73.1666
           0      72.882
           1     75.3767
           2      75.887
           3      75.789
           4     76.5921
           5     78.0108
           6     78.1555
           7     76.1692
           8      75.126
           9     76.2571
          10     76.5911
          11     77.3911
          12     76.4623
          13     75.6487
          14      77.723
          15     76.9518
          16     76.8674
          17     79.0025
          18     77.6493
          19     77.8014
          20     76.5551
          21     77.1774
          22     75.8049
          23     76.3094
          24     76.9835
          25     74.9283
          26     75.3277
          27     73.5868
          28     72.9756
          29      72.383
          30     73.3518
          31     73.7419
          32     73.6403
          33     72.6605
          34     73.2052
          35     73.4377
          36      74.447
          37     74.6287
          38     75.0549
          39     74.2105
          40     74.9147
          41     75.4586
          42     73.7385
          43     73.2619
          44     73.1849
          45     73.8585
          46     72.8232
          47      74.176
          48     75.8658
          49      77.901
          50     77.9212
          51     75.8765
          52     74.3545
          53     75.6283
          54     75.2312
          55     77.1963
          56     76.9325
          57       76.43
          58     76.0056
          59     74.3528
          60     73.7244
          61     73.4054
          62     72.5901
          63     76.2842
          64     75.6959
          65     76.2425
          66     75.0945
          67     74.6313
          68     74.8703
          69     75.3136
          70     75.6694
          71     75.2625
          72     76.3138
          73     75.2543
          74     74.0181
          75     74.1228
          76     74.8598
          77     74.8543
          78     74.3793
          79     75.9779
          80     75.3401
          81     74.4424
          82     76.2445
          83     75.8225
          84     76.5104
          85     74.2764
          86     74.8525
          87     73.9373
          88     73.4395
          89     74.0062
          90     75.9618
          91     74.0198
          92     74.5977
          93     76.1489
          94     74.4285
          95      73.667
          96     74.1226
          97     74.0494
          98     74.2519
          99     74.7473
           0     74.5276
           1     74.6661
           2     73.5094
           3     73.3692
           4     74.9682
           5     74.6536
           6     74.3554
           7     73.4927
           8     73.4968
           9     73.1675
          10      72.022
          11     72.2564
          12     73.1573
          13     72.7964
          14     73.7607
          15     72.0944
          16     72.2544
          17     72.3582
          18     71.8162
          19     73.2288
          20     74.4636
          21     74.4779
          22     73.2464
          23     71.7528
          24     70.7518
          25     72.2664
          26     73.9708
          27     72.9312
          28      72.572
          29      72.243
          30     70.6623
          31     70.7516
          32     71.0866
          33     72.2026
          34       72.99
          35     73.9462
          36     74.5978
          37     73.9296
          38     73.8075
          39     74.1656
          40     73.1552
          41     71.5718
          42     72.4288
          43     72.8766
          44     72.4291
          45     72.8499
          46      72.783
          47     72.8711
          48     72.4867
          49     74.0321
          50     72.7238
          51     72.9044
          52      72.255
          53     71.3177
          54     71.0436
          55     70.5882
          56     71.8298
          57     71.4969
          58     71.0035
          59     71.3574
          60     72.5144
          61     71.4666
          62     70.7092
          63     71.7422
          64     70.8657
          65     71.5484
          66      72.846
          67      71.902
          68     72.0244
          69     72.5709
          70     72.1557
          71     71.3209
          72     71.8464
          73     72.2102
          74     71.4739
          75     71.6542
          76     70.8382
          77     72.6211
          78     72.4226
          79     72.3371
          80     70.8988
          81     71.1455
          82     70.8779
          83     71.8727
          84     72.8523
          85     73.4387
          86     73.4666
          87     73.4479
          88      74.445
          89     75.8026
          90     75.9492
          91      74.886
          92      73.784
          93     71.9634
          94     70.7853
          95      70.401
          96     70.6557
          97     70.9774
          98      70.548
          99     72.3644
           0      71.446
           1     72.2774
           2     71.0133
           3     70.7268
           4     69.9579
           5     70.8219
           6     71.5078
           7     70.9145
           8     70.2563
           9     70.6082
          10     71.1683
          11     70.7108
          12     71.5425
          13     71.7142
          14     69.9803
          15     69.6848
          16     69.4961
          17     69.3944
          18     70.4108
          19     70.4582
          20     69.6308
          21     69.2604
          22       69.73
          23      69.092
          24     70.8111
          25     72.1707
          26     72.2998
          27      71.708
          28     72.1697
          29      71.779
          30     71.8098
          31     72.2491
          32     71.2891
          33     71.9306
          34     72.2516
          35     73.2142
          36     71.5346
          37      70.769
          38     70.4834
          39     71.0327
          40     71.3166
          41     71.0811
          42      71.596
          43     70.2246
          44     69.7131
          45       70.83
          46     70.4081
          47     70.0636
          48     70.9168
          49     71.2245
          50     70.4736
          51     70.2633
          52     70.6628
          53     71.0737
          54      71.209
          55      71.017
          56     70.2472
          57     69.7549
          58     72.4595
          59     72.1332
          60     71.4509
          61     72.8375
          62     70.8261
          63     72.3657
          64     72.7596
          65     75.3243
          66     75.2555
          67     75.1764
          68     73.4216
          69     71.3117
          70      71.259
          71     71.7371
          72     72.1995
          73     70.3589
          74     71.0914
          75     70.8921
          76     70.3463
          77     71.1163
          78     70.9792
          79     71.6418
          80     72.1272
          81     72.8644
          82     72.2797
          83     73.6458
          84     72.2591
          85     71.2269
          86     71.7259
          87     70.7687
          88     69.4655
          89     70.2863
          90     69.5198
          91     71.4917
          92     72.5926
          93     70.9216
          94     70.7902
          95     71.7519
          96     71.5518
          97     72.4806
          98     71.7575
          99     71.2393
           0     70.8387
           1     70.7767
           2     72.7259
           3     70.3468
           4     71.4353
           5     70.1895
           6     70.0045
           7     71.2124
           8     70.5052
           9     69.8088
          10     69.3362
          11     70.0134
          12      70.632
          13     70.9204
          14     71.7111
          15     71.1977
          16     73.2647
          17     72.8993
          18     71.5053
          19     71.0307
          20     71.3059
          21     72.0736
          22     72.0138
          23     71.4399
          24     71.0564
          25     72.1731
          26     72.1214
          27     71.1444
          28     70.4683
          29     71.4581
          30     71.9224
          31      71.563
          32     71.9057
          33     71.4177
          34     70.2854
          35      70.387
          36     70.1533
          37     71.3998
          38     70.4036
          39     70.9626
          40     69.5368
          41     69.3179
          42     69.7871
          43     69.6592
          44      70.397
          45     71.3709
          46     71.4448
          47     71.2242
          48     70.7452
          49     70.4223
          50     70.3059
          51     72.4929
          52     72.2397
          53      71.845
          54     72.5256
          55     73.8708
          56     71.9913
          57     74.1525
          58     72.7801
          59     72.0683
          60     71.5713
          61     71.2331
          62     70.5759
          63     70.8859
          64     71.3128
          65     73.2423
          66     72.6439
          67      72.318
          68     70.6801
          69     70.7881
          70     69.8959
          71     70.2914
          72     70.5352
          73     71.0438
          74      72.122
          75     72.2027
          76     70.7286
          77     71.0535
          78     72.2165
          79     71.4385
          80     70.3851
          81     70.3362
          82     72.0453
          83     72.2204
          84     71.9511
          85     71.0281
          86     70.0249
          87     71.3884
          88     71.5696
          89     70.2285
          90     70.2434
          91     70.5172
          92     70.7856
          93     70.6905
          94     70.9351
          95      71.227
          96      72.667
          97      71.187
          98     71.5603
          99     72.1664
           0     70.7106
           1     71.5508
           2     71.4149
           3     73.0742
           4     72.3279
           5     70.7463
           6       70.37
           7     69.4714
           8     69.7083
           9     70.0743
          10     70.3266
          11     70.3244
          12     70.8067
          13     71.6186
          14     72.2122
          15     72.6781
          16     71.5551
          17     69.3658
          18     70.6427
          19     70.0335
          20     70.3642
          21     69.7628
          22     69.9797
          23     70.3693
          24     70.1076
          25     69.9955
          26     70.6416
          27     70.0624
          28     70.6893
          29     70.4401
          30     72.1405
          31     70.1137
          32     70.5336
          33     71.4121
          34     69.7136
          35      71.268
          36     71.9132
          37     71.3217
          38     71.1528
          39     70.6317
          40     71.3898
          41     69.4402
          42     69.8739
          43     69.8758
          44     69.3603
          45     69.1616
          46     69.3337
          47     70.6161
          48     71.3787
          49     71.5163
          50     72.7296
          51     74.7699
          52     72.9228
          53     71.8757
          54      70.864
          55     70.3425
          56     72.1338
          57     71.7777
          58     70.5638
          59     71.3505
          60     70.7082
          61     72.2264
          62     70.7786
          63     71.1058
          64     71.5142
          65     71.0436
          66     70.7541
          67     70.7043
          68     72.2876
          69     70.1326
          70     70.7396
          71     70.1157
          72     72.0356
          73     72.8916
          74     73.0741
          75      72.281
          76     71.7528
          77     71.5926
          78     70.3004
          79     69.8788
          80     71.7187
          81     72.1263
          82     72.2385
          83     71.8551
          84     71.1614
          85     72.5718
          86     70.8326
          87     70.2978
          88     71.3498
          89     71.4499
          90     70.9949
          91     71.9911
          92     71.5412
          93     69.9271
          94     69.3285
          95     69.1048
          96     68.9753
          97     68.8994
          98     70.1406
          99     71.4074
           0     70.0199
           1     69.6046
           2     69.8786
           3     70.7873
           4     70.0589
           5     68.7836
           6     68.2589
           7      67.803
           8     69.6003
           9      68.554
          10      68.279
          11      69.118
          12     70.2551
          13     71.2747
          14      71.581
          15     71.6429
          16     71.1868
          17     70.8458
          18     70.3544
          19     69.9192
          20     71.3725
          21     70.6759
          22     69.3073
          23     68.7605
          24     69.0129
          25     68.7949
          26     69.1791
          27     70.8381
          28     72.0519
          29     71.5424
          30     70.4403
          31      69.906
          32     70.1881
          33     69.3268
          34     68.7266
          35     70.6306
          36     71.3031
          37     71.7384
          38      70.036
          39     69.9427
          40     68.8084
          41     69.0481
          42     70.4915
          43     69.7469
          44     69.9773
          45     69.8771
          46     70.9301
          47     69.8366
          48     68.9441
          49     68.1292
          50     68.6091
          51     68.7112
          52     68.3831
          53     70.0526
          54     68.9393
          55     68.4602
          56     68.0613
          57     68.0394
          58     67.8987
          59     68.0975
          60     69.2929
          61     68.1479
          62     68.7751
          63     69.8069
          64     70.1758
          65     68.9213
          66     69.8914
          67     69.6089
          68     69.4904
          69      69.887
          70     69.0228
          71      70.372
          72     69.4848
          73      71.415
          74      70.305
          75     68.9841
          76     69.1546
          77     69.1384
          78     69.2206
          79     70.7888
          80     72.0109
          81     71.3182
          82     69.9777
          83     70.6892
          84     71.0776
          85     70.4067
          86     70.7337
          87     73.0053
          88     69.8417
          89     70.2438
          90     68.3003
          91      68.228
          92     68.0956
          93     68.3299
          94     68.6376
          95     70.0811
          96     70.8211
          97     70.0656
          98     72.7388
          99     72.0991
           0     69.9496
           1     69.5184
           2     68.9528
           3     69.2532
           4     68.0836
           5     68.5886
           6     67.7909
           7     68.5908
           8      69.346
           9     68.6308
          10     69.7311
          11     70.0444
          12       71.59
          13      71.408
          14     70.8655
          15      68.499
          16     69.0662
          17     69.0206
          18     70.0871
          19     69.8211
          20     70.2284
          21       69.21
          22     69.5786
          23     70.4558
          24     68.4587
          25     68.9281
          26     69.4994
          27      69.931
          28     69.4971
          29       70.71
          30     70.5921
          31     71.3437
          32     71.4407
          33     71.3914
          34     72.9574
          35     72.1688
          36     71.1486
          37     70.3883
          38     70.1436
          39     70.2383
          40      68.987
          41     69.0167
          42     69.5938
          43     68.9942
          44     70.0282
          45     70.8446
          46      71.338
          47     69.2035
          48     70.1539
          49     70.2604
          50     71.0869
          51     72.2232
          52     71.6901
          53     68.9624
          54     67.9645
          55      69.887
          56     68.8652
          57       70.63
          58     69.2398
          59     68.1693
          60     68.6874
          61     70.1389
          62     71.2859
          63     70.9576
          64     72.4354
          65     70.2762
          66     70.9899
          67     71.1286
          68     70.9237
          69     71.3604
          70     69.4355
          71     69.9464
          72     69.9749
          73     71.4669
          74     71.1323
          75     70.7376
          76     69.3009
          77     70.9459
          78     69.2403
          79     69.7657
          80     70.6719
          81     69.4011
          82     72.2953
          83     71.9783
          84     70.6224
          85     70.1654
          86     70.4723
          87     72.6322
          88     72.1256
          89     72.3969
          90     71.9845
          91     70.8862
          92     71.0678
          93     70.2322
          94     70.2032
          95     69.7435
          96     68.3626
          97     69.3113
          98     68.9273
          99     69.7165
           0     68.9913
           1     69.7969
           2     68.9114
           3     68.5091
           4     68.8016
           5     70.5839
           6     70.2482
           7     71.3382
           8      71.825
           9     72.9288
          10     71.8343
          11     71.3156
          12     71.4293
          13     71.2171
          14      71.111
