#T           <H>          error         SIGMA         MU 
     4.30542   -0.454613  0.00849453    0.621392    0.836073
     4.32695   -0.453044   0.0183257    0.539064    0.790671
     4.34858    -0.46656   0.0076746    0.626889    0.777503
     4.37033   -0.464424  0.00821906    0.671417    0.803369
     4.39218   -0.396862    0.015721    0.719989    0.694614
     4.41414   -0.464717  0.00919914    0.601159    0.790439
     4.43621   -0.424445   0.0103113    0.643264    0.687954
     4.45839   -0.446115  0.00928213    0.608289    0.766846
     4.48068   -0.451735   0.0147696    0.614065    0.889222
     4.50309    -0.45024  0.00865274    0.629067      0.7535
      4.5256   -0.398642   0.0110821    0.686798    0.730378
     4.54823   -0.477171  0.00920035    0.615673    0.858516
     4.57097   -0.435442   0.0143569    0.648318    0.850706
     4.59383   -0.400258   0.0184286    0.869849     0.58155
      4.6168   -0.324733   0.0213801     1.08258    0.144038
     4.63988   -0.454849   0.0114914    0.633597    0.893019
     4.66308   -0.467229   0.0126656    0.603073    0.804369
     4.68639   -0.390445   0.0184803    0.765783    0.677285
     4.70983   -0.354536   0.0206442     1.04683    0.337202
     4.73338    -0.32814   0.0276688     1.00011    0.370494
     4.75704   -0.389849   0.0197274    0.963905   0.0516102
     4.78083   -0.365857   0.0211795     1.06336    0.189714
     4.80473   -0.457272   0.0092563    0.658894    0.817747
     4.82876    -0.46838   0.0192298     0.54398    0.662974
      4.8529   -0.453839  0.00969027      0.5957     0.79456
     4.87716   -0.369442   0.0221773    0.835114     0.57186
     4.90155   -0.360247   0.0197181    0.846866      0.4963
     4.92606   -0.341213   0.0274215      1.0243    0.102584
     4.95069   -0.381686   0.0219631     1.06499   0.0498082
     4.97544   -0.317769   0.0205391    0.983658   0.0677718
     5.00032      -0.357      0.0229     1.06161    0.206039
     5.02532   -0.469494  0.00838219    0.643937    0.809184
     5.05045   -0.450747    0.010371    0.598693    0.765423
      5.0757   -0.408375   0.0199746    0.529682    0.660608
     5.10108   -0.469343   0.0105078    0.668559    0.710659
     5.12658   -0.469817   0.0105438    0.594697    0.841951
     5.15222   -0.460963   0.0107792    0.673339    0.703772
     5.17798   -0.483335   0.0102164    0.587797    0.788725
     5.20387    -0.35639   0.0229797    0.990789    0.255028
     5.22989    -0.32373   0.0209102    0.932259   0.0883413
     5.25604   -0.358632   0.0185088    0.683294    0.578002
     5.28232   -0.451087   0.0160689    0.674794    0.813412
     5.30873   -0.441369   0.0140464    0.700085    0.830482
     5.33527   -0.469632   0.0110978    0.588116    0.843899
     5.36195   -0.469791   0.0119724    0.694981    0.838453
     5.38876   -0.341137   0.0191865    0.852423    0.467668
      5.4157   -0.468272   0.0102661    0.663366    0.745134
     5.44278   -0.484418  0.00791358     0.65875    0.798935
     5.46999   -0.424433  0.00959367    0.630331    0.715157
     5.49734    -0.46291  0.00807811    0.621103    0.762686
     5.52483   -0.360002   0.0254164    0.937855    0.393913
     5.55245   -0.452051   0.0123691    0.574858    0.827304
     5.58022   -0.440866   0.0118788    0.577155    0.753676
     5.60812   -0.448507   0.0119399    0.671247    0.787037
     5.63616   -0.456257   0.0118102    0.672064    0.872055
     5.66434   -0.442085   0.0111306    0.657623    0.766589
     5.69266   -0.484578  0.00799797    0.642499     0.83643
     5.72112   -0.463216  0.00898018    0.605526     0.80494
     5.74973   -0.473694  0.00852863     0.64865    0.758238
     5.77848      -0.462   0.0113705    0.581413    0.763002
     5.80737   -0.488105  0.00611007     0.64579    0.818833
     5.83641   -0.450106   0.0100497    0.628611     0.69864
     5.86559   -0.466716    0.008154    0.629675     0.78665
     5.89492   -0.462982  0.00888266    0.620489    0.856953
     5.92439   -0.460297  0.00770508    0.645334     0.75923
     5.95401   -0.459996  0.00920579    0.613716    0.806261
     5.98378   -0.475277   0.0111392    0.635227    0.896503
      6.0137   -0.449855   0.0131294    0.631082    0.884729
     6.04377   -0.468311   0.0157725     0.55889     0.84749
     6.07399    -0.48104  0.00831792    0.657497    0.835138
     6.10436   -0.462081   0.0123519    0.700942     0.80689
     6.13488    -0.35978   0.0262133     1.08095    0.217629
     6.16556   -0.375035   0.0246703      1.1356    0.265152
     6.19638   -0.327093   0.0199159    0.833882    0.452237
     6.22737   -0.336989   0.0200924    0.951895   0.0193273
      6.2585   -0.323604    0.034954     1.00725   0.0677606
      6.2898   -0.240755    0.035919     1.08555    0.489318
     6.32124   -0.372726   0.0216127     1.02591   0.0493846
     6.35285   -0.465861  0.00999174    0.590976     0.77803
     6.38462    -0.46753  0.00788788    0.630885    0.762705
     6.41654   -0.474307  0.00847508    0.667101    0.783886
     6.44862   -0.461096   0.0112758    0.663233    0.826752
     6.48086   -0.468903  0.00994285     0.61224    0.844109
     6.51327   -0.440425  0.00962757    0.620396    0.724606
     6.54583   -0.464278   0.0161309    0.551296    0.771097
     6.57856   -0.417656   0.0179357    0.796788    0.642905
     6.61146   -0.366022    0.020538      1.0201    0.213019
     6.64451   -0.458517  0.00984954    0.599384     0.80859
     6.67774   -0.456578  0.00938519     0.59944    0.783634
     6.71113   -0.495603  0.00838137    0.618225    0.839856
     6.74468   -0.447007   0.0120245    0.682574    0.870533
      6.7784   -0.467064  0.00920263    0.612183     0.76225
      6.8123   -0.476888   0.0103955    0.680566    0.854513
     6.84636   -0.380025    0.021578    0.747381    0.672651
     6.88059   -0.472228   0.0105628    0.620917    0.823716
     6.91499    -0.47819  0.00925742       0.673    0.845235
     6.94957    -0.47886   0.0108296     0.58892    0.800313
     6.98432    -0.46852  0.00877437    0.657892    0.800173
     7.01924   -0.449102   0.0125544    0.784123    0.736785
     7.05433   -0.474807   0.0073411    0.640888    0.788245
      7.0896    -0.47852  0.00990865    0.599377    0.847424
     7.12505   -0.479961  0.00717434    0.630172    0.797432
     7.16068   -0.362773   0.0167078    0.849721    0.504067
     7.19648   -0.342876   0.0209727    0.944535    0.246975
     7.23246   -0.469808   0.0102159    0.699327    0.737299
     7.26863   -0.466895  0.00945056    0.614778    0.851512
     7.30497   -0.459426  0.00991326    0.602043    0.840784
     7.34149   -0.383235   0.0253957    0.799632    0.786648
      7.3782   -0.394482   0.0115679    0.657823    0.669612
     7.41509   -0.461759  0.00811259    0.610944    0.805474
     7.45217   -0.386048   0.0244979    0.887018    0.572515
     7.48943   -0.378789     0.02035    0.852316    0.518924
     7.52688   -0.458674   0.0129909    0.661712     0.87204
     7.56451   -0.472325  0.00859327    0.606073    0.785748
