   #BLOCK      # VELOCITY:     AVE_POFV:        ERROR:
          18     3.66667   0.0126042   0.0358893  0.00732822
          18         3.8  0.00822917   0.0265297  0.00528834
          18     3.93333 0.000694444   0.0145621  0.00288864
          19   0.0666667 0.000520833   0.0075201  0.00273304
          19         0.2   0.0110417   0.0198246  0.00336434
          19    0.333333   0.0264236   0.0702083  0.00790465
          19    0.466667   0.0966319    0.115318  0.00652113
          19         0.6    0.279271    0.176155   0.0118347
          19    0.733333    0.181979    0.208092  0.00974578
          19    0.866667    0.288681     0.27341   0.0128887
          19           1    0.214757    0.343342   0.0176375
          19     1.13333    0.410417    0.414291   0.0151176
          19     1.26667    0.445417     0.43231   0.0213939
          19         1.4    0.355764    0.484276   0.0188793
          19     1.53333    0.464479    0.548823   0.0174163
          19     1.66667    0.518576    0.511491   0.0198389
          19         1.8     0.56559     0.51608   0.0222056
          19     1.93333     0.58375    0.472527   0.0189869
          19     2.06667     0.55309    0.441268   0.0147126
          19         2.2    0.423299    0.399667   0.0200554
          19     2.33333    0.361493    0.353693   0.0176401
          19     2.46667     0.39066    0.330466   0.0168174
          19         2.6    0.246771    0.277953   0.0122656
          19     2.73333    0.253021    0.269496   0.0139413
          19     2.86667    0.229931    0.216294   0.0134994
          19           3    0.192396    0.177752  0.00792315
          19     3.13333   0.0916319    0.119335   0.0102041
          19     3.26667   0.0658333   0.0870431   0.0114034
          19         3.4   0.0413889    0.062341   0.0081308
          19     3.53333   0.0620833   0.0480135  0.00583793
          19     3.66667   0.0628472   0.0373081  0.00707855
          19         3.8   0.0478472   0.0276517  0.00512765
          19     3.93333   0.0134375   0.0145029  0.00273721
          20   0.0666667  0.00486111  0.00738715  0.00259962
          20         0.2   0.0147917   0.0195729  0.00320552
          20    0.333333   0.0189236   0.0676441  0.00791441
          20    0.466667   0.0769792    0.113401   0.0064707
          20         0.6    0.210035    0.177849   0.0113636
          20    0.733333    0.224549    0.208915  0.00929316
          20    0.866667    0.390833    0.279281   0.0135155
          20           1    0.248958    0.338623   0.0173755
          20     1.13333    0.344271     0.41079   0.0147616
          20     1.26667    0.490937    0.435241    0.020524
          20         1.4    0.611979    0.490661   0.0189844
          20     1.53333    0.472187    0.544991   0.0169618
