#   T:  ACCEPTANCE:
        1.75    0.479303
        1.75    0.479309
        1.75    0.479306
        1.75    0.479366
        1.75    0.479229
        1.75    0.479058
        1.75    0.478943
        1.75    0.479181
        1.75    0.479231
        1.75     0.47941
        1.75    0.479364
        1.75    0.479366
        1.75    0.479375
        1.75    0.479423
        1.75    0.479399
        1.75    0.479366
        1.75     0.47925
        1.75    0.479213
        1.75    0.479183
       1.775    0.485387
       1.775    0.485694
       1.775    0.484537
       1.775    0.484891
       1.775    0.484527
       1.775    0.485004
       1.775    0.485017
       1.775    0.484966
       1.775    0.484992
       1.775    0.485155
       1.775    0.485042
       1.775    0.485054
       1.775    0.485085
       1.775    0.485131
       1.775    0.485156
       1.775    0.485277
       1.775    0.485243
       1.775    0.485239
       1.775     0.48523
       1.775    0.485234
         1.8    0.489973
         1.8    0.490562
         1.8     0.49032
         1.8    0.490204
         1.8    0.490113
         1.8    0.489896
         1.8    0.490107
         1.8    0.490203
         1.8    0.490282
         1.8    0.490249
         1.8    0.490389
         1.8     0.49057
         1.8    0.490491
         1.8    0.490473
         1.8    0.490555
         1.8    0.490551
         1.8    0.490586
         1.8    0.490639
         1.8    0.490692
         1.8    0.490643
       1.825    0.495962
       1.825    0.496405
       1.825    0.497242
       1.825    0.497154
       1.825     0.49707
       1.825    0.496613
       1.825    0.496611
       1.825    0.496735
       1.825    0.496666
       1.825    0.496426
       1.825     0.49639
       1.825    0.496405
       1.825    0.496431
       1.825    0.496503
       1.825      0.4965
       1.825    0.496501
       1.825    0.496546
       1.825    0.496513
       1.825    0.496512
       1.825    0.496471
        1.85    0.502914
        1.85    0.502239
        1.85    0.502236
        1.85    0.502435
        1.85     0.50251
        1.85    0.502398
        1.85    0.502314
        1.85    0.502323
        1.85    0.502335
        1.85    0.502441
        1.85    0.502236
        1.85    0.502134
        1.85      0.5022
        1.85    0.502137
        1.85    0.502145
        1.85    0.502216
        1.85    0.502212
        1.85    0.502175
        1.85    0.502185
        1.85    0.502225
       1.875    0.508048
       1.875     0.50778
       1.875    0.507174
       1.875    0.507102
       1.875    0.507232
       1.875    0.507218
       1.875    0.507037
       1.875    0.506985
       1.875    0.507128
       1.875    0.507293
       1.875    0.507283
       1.875    0.507256
       1.875    0.507169
       1.875    0.507257
       1.875    0.507367
       1.875    0.507366
       1.875    0.507387
       1.875    0.507288
       1.875    0.507331
       1.875    0.507287
         1.9    0.512553
         1.9    0.513354
         1.9    0.513319
         1.9    0.513437
         1.9    0.513311
         1.9    0.513045
         1.9     0.51295
         1.9    0.513067
         1.9    0.513081
         1.9    0.513161
         1.9    0.513285
         1.9    0.513208
         1.9    0.513173
