#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         0.9           8    0.442312    0.439388  0.00372755
         0.9           9    0.432867    0.438664  0.00338307
         0.9          10    0.425937    0.437391   0.0032754
         0.9          11    0.422771    0.436062  0.00323608
         0.9          12    0.414287    0.434247  0.00343771
         0.9          13    0.458542    0.436116  0.00364603
         0.9          14    0.427115    0.435473  0.00344181
         0.9          15     0.42843    0.435004  0.00324423
         0.9          16    0.438242    0.435206  0.00304778
         0.9          17    0.431643    0.434997  0.00287569
         0.9          18    0.461051    0.436444   0.0030586
         0.9          19    0.431044     0.43616   0.0029108
         0.9          20    0.428087    0.435756   0.0027931
       0.925           1    0.435291    0.435291           0
       0.925           2     0.43586    0.435575 0.000200939
       0.925           3    0.450348    0.440499  0.00402274
       0.925           4    0.422996    0.436124  0.00484389
       0.925           5    0.434943    0.435887  0.00388086
       0.925           6    0.429242     0.43478  0.00338843
       0.925           7    0.433413    0.434585  0.00290999
       0.925           8    0.425742    0.433479  0.00274817
       0.925           9    0.441393    0.434359  0.00257967
       0.925          10    0.447161    0.435639  0.00262021
       0.925          11    0.433806    0.435472   0.0023873
       0.925          12    0.439374    0.435797  0.00221039
       0.925          13    0.413431    0.434077  0.00262591
       0.925          14    0.438724    0.434409  0.00245924
       0.925          15      0.4158    0.433168  0.00258937
       0.925          16    0.439953    0.433592  0.00246202
       0.925          17    0.419199    0.432746  0.00245847
       0.925          18    0.445868    0.433475  0.00242758
       0.925          19     0.42565    0.433063  0.00233448
       0.925          20     0.41572    0.432196  0.00237335
        0.95           1     0.44627     0.44627           0
        0.95           2    0.419386    0.432828   0.0095049
        0.95           3    0.421056    0.428904  0.00710045
        0.95           4    0.418098    0.426202  0.00581658
        0.95           5    0.426232    0.426208  0.00465327
        0.95           6    0.427613    0.426442  0.00388361
        0.95           7    0.430097    0.426964  0.00336372
        0.95           8    0.439771    0.428565  0.00330225
        0.95           9    0.436791    0.429479  0.00305919
        0.95          10    0.422471    0.428778  0.00283241
        0.95          11    0.425405    0.428472  0.00259146
        0.95          12    0.434778    0.428997  0.00242821
        0.95          13    0.430135    0.429085    0.002243
        0.95          14    0.423595    0.428693  0.00211679
        0.95          15    0.429748    0.428763  0.00197684
        0.95          16    0.425155    0.428537   0.0018661
        0.95          17    0.423727    0.428255  0.00177765
        0.95          18    0.426474    0.428156  0.00168164
        0.95          19    0.425959     0.42804  0.00159711
        0.95          20    0.432976    0.428287   0.0015362
       0.975           1    0.422583    0.422583           0
       0.975           2    0.425584    0.424084   0.0010612
       0.975           3    0.427831    0.425333  0.00124134
       0.975           4    0.423149    0.424787  0.00104417
       0.975           5    0.433344    0.426498  0.00174391
       0.975           6    0.434956    0.427908   0.0019411
       0.975           7    0.428964    0.428059  0.00166966
       0.975           8    0.425585     0.42775  0.00148932
       0.975           9    0.422473    0.427163  0.00143459
       0.975          10    0.432432     0.42769  0.00138449
       0.975          11    0.430973    0.427989   0.0012904
       0.975          12    0.442789    0.429222  0.00167141
       0.975          13    0.430863    0.429348   0.0015476
       0.975          14    0.418105    0.428545  0.00163217
       0.975          15    0.422108    0.428116  0.00157877
       0.975          16     0.41112    0.427054  0.00180236
       0.975          17    0.426137       0.427  0.00169714
       0.975          18    0.415188    0.426344  0.00172506
       0.975          19     0.41271    0.425626  0.00177726
       0.975          20    0.427012    0.425695  0.00168975
           1           1    0.412887    0.412887           0
           1           2    0.423134    0.418011   0.0036228
           1           3    0.423528     0.41985  0.00284392
           1           4    0.416082    0.418908   0.0022836
           1           5    0.419375    0.419001  0.00182878
           1           6    0.417927    0.418822  0.00153273
           1           7    0.417439    0.418624  0.00132645
           1           8    0.424524    0.419362  0.00135016
           1           9    0.408739    0.418182  0.00163667
           1          10    0.413268     0.41769    0.001545
           1          11    0.422506    0.418128  0.00146528
           1          12    0.416461    0.417989  0.00134974
           1          13    0.414955    0.417756  0.00126592
