#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
       0.825          13    0.424353    0.440992  0.00225681
       0.825          14    0.439017    0.440851  0.00210001
       0.825          15    0.437129    0.440603  0.00197462
       0.825          16    0.438612    0.440479  0.00185512
       0.825          17    0.453487    0.441244  0.00189725
       0.825          18    0.446127    0.441515  0.00181114
       0.825          19    0.429854    0.440902  0.00181683
       0.825          20    0.451908    0.441452  0.00180742
        0.85           1    0.438637    0.438637           0
        0.85           2    0.424884    0.431761   0.0048622
        0.85           3    0.430463    0.431328  0.00326065
        0.85           4    0.436149    0.432533  0.00265894
        0.85           5    0.445466     0.43512  0.00314272
        0.85           6    0.436016    0.435269  0.00262248
        0.85           7    0.447256    0.436982  0.00275066
        0.85           8    0.444055    0.437866  0.00254498
        0.85           9    0.426326    0.436584  0.00256495
        0.85          10    0.439052     0.43683   0.0023203
        0.85          11    0.444797    0.437555  0.00221951
        0.85          12    0.421403    0.436209  0.00240833
        0.85          13    0.433819    0.436025  0.00223008
        0.85          14    0.448947    0.436948  0.00225373
        0.85          15    0.431922    0.436613  0.00212824
        0.85          16    0.449819    0.437438  0.00214933
        0.85          17    0.431572    0.437093  0.00205041
        0.85          18    0.445968    0.437586   0.0019949
        0.85          19    0.445451       0.438  0.00193237
        0.85          20    0.426198     0.43741  0.00192375
       0.875           1    0.432665    0.432665           0
       0.875           2    0.430071    0.431368 0.000916983
       0.875           3    0.443169    0.435302   0.0032696
       0.875           4    0.457616     0.44088   0.0054179
       0.875           5    0.428415    0.438387  0.00487431
       0.875           6    0.420552    0.435415  0.00488497
       0.875           7    0.427162    0.434236  0.00432703
       0.875           8    0.431994    0.433956  0.00379522
       0.875           9    0.440464    0.434679  0.00344173
       0.875          10    0.441187     0.43533   0.0031585
       0.875          11      0.4492    0.436591  0.00311292
       0.875          12    0.430501    0.436083  0.00289457
       0.875          13    0.448996    0.437076  0.00283723
       0.875          14    0.449067    0.437933  0.00276082
       0.875          15     0.45187    0.438862  0.00272863
       0.875          16    0.441621    0.439034  0.00256354
       0.875          17     0.42789    0.438379  0.00249515
       0.875          18    0.453194    0.439202  0.00248859
       0.875          19    0.436189    0.439043  0.00236266
       0.875          20    0.443013    0.439242  0.00225285
         0.9           1    0.433748    0.433748           0
         0.9           2    0.439722    0.436735  0.00211214
         0.9           3    0.436913    0.436794  0.00140892
         0.9           4    0.435372    0.436439  0.00110065
         0.9           5    0.427933    0.434737  0.00175791
         0.9           6    0.445911      0.4366  0.00224408
         0.9           7    0.443102    0.437528  0.00210697
         0.9           8    0.458826    0.440191  0.00309845
         0.9           9    0.421592    0.438124  0.00337365
         0.9          10    0.428824    0.437194  0.00316187
         0.9          11    0.435983    0.437084  0.00287634
         0.9          12     0.40866    0.434715  0.00347781
         0.9          13    0.432656    0.434557  0.00321389
         0.9          14    0.438092    0.434809  0.00299423
         0.9          15    0.436995    0.434955  0.00279816
         0.9          16    0.444623    0.435559  0.00268772
         0.9          17    0.450953    0.436465  0.00267781
         0.9          18    0.425799    0.435872  0.00259378
         0.9          19    0.440152    0.436098  0.00246702
         0.9          20    0.423961    0.435491  0.00241716
       0.925           1    0.421283    0.421283           0
       0.925           2    0.444414    0.432848  0.00817806
       0.925           3    0.430899    0.432198  0.00547778
       0.925           4    0.434048    0.432661  0.00412781
       0.925           5    0.439475    0.434024  0.00352008
       0.925           6     0.44092    0.435173  0.00311539
       0.925           7    0.416615    0.432522  0.00362697
       0.925           8     0.43354    0.432649  0.00317583
       0.925           9    0.416577    0.430863  0.00328693
       0.925          10    0.436821    0.431459  0.00301174
