#      T         BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         0.8           9     14.0686     14.7268    0.291887
         0.8          10      15.685     14.8226    0.277982
         0.8          11     16.1383     14.9422    0.277252
         0.8          12     14.4865     14.9042    0.256735
         0.8          13     13.1572     14.7699    0.269875
         0.8          14     16.4892     14.8927    0.277138
         0.8          15     15.6037     14.9401    0.262685
         0.8          16     15.0177     14.9449    0.246312
         0.8          17     16.4619     15.0342    0.247458
         0.8          18     16.6277     15.1227    0.249043
         0.8          19     15.1227     15.1227    0.235935
         0.8          20     17.0826     15.2207    0.243641
       0.825           1     13.3358     13.3358           0
       0.825           2      12.959     13.1474    0.133234
       0.825           3     13.6184     13.3044     0.15596
       0.825           4     15.3456     13.8147    0.457146
       0.825           5     11.5114      13.354    0.550925
       0.825           6     12.2322      13.167    0.489807
       0.825           7     13.3929     13.1993    0.420895
       0.825           8     15.3056     13.4626    0.443045
       0.825           9     12.0247     13.3028    0.421641
       0.825          10     13.6426     13.3368    0.380844
       0.825          11      13.952     13.3927    0.350305
       0.825          12     12.1841      13.292     0.33528
       0.825          13     14.1546     13.3584    0.315987
       0.825          14     14.7768     13.4597    0.309234
       0.825          15     12.8211     13.4171    0.291534
       0.825          16     13.2563     13.4071    0.273486
       0.825          17     13.0648     13.3869    0.258139
       0.825          18     15.3038     13.4934    0.264854
       0.825          19     13.8973     13.5147    0.251766
       0.825          20     12.4746     13.4627    0.244489
        0.85           1     12.4831     12.4831           0
        0.85           2      11.166     11.8245    0.465664
        0.85           3     12.6951     12.1147     0.39053
        0.85           4     12.1184     12.1156    0.292899
        0.85           5     13.3269     12.3579    0.319145
        0.85           6     12.5537     12.3905    0.267617
        0.85           7     12.1371     12.3543    0.231822
        0.85           8     12.3094     12.3487    0.202912
        0.85           9     11.5903     12.2644    0.197088
        0.85          10     12.7281     12.3108    0.182753
        0.85          11     12.1074     12.2923    0.167072
        0.85          12     11.4929     12.2257    0.165899
        0.85          13     11.0237     12.1332    0.177037
        0.85          14     12.7369     12.1763    0.169562
        0.85          15     12.1621     12.1754    0.158261
        0.85          16     12.6505     12.2051    0.151129
        0.85          17     11.8086     12.1818    0.144028
        0.85          18     12.1194     12.1783    0.136068
        0.85          19     12.2777     12.1835    0.129007
        0.85          20     12.5905     12.2039    0.124151
       0.875           1     10.8358     10.8358           0
       0.875           2     10.0096     10.4227    0.292099
       0.875           3     11.6066     10.8173    0.376479
       0.875           4     10.5014     10.7383    0.290526
       0.875           5     11.3078     10.8522    0.253763
       0.875           6     11.0067      10.878    0.212771
       0.875           7      9.8496     10.7311    0.227509
       0.875           8     12.1275     10.9056    0.257466
       0.875           9     11.2199     10.9405    0.231214
       0.875          10     10.4164     10.8881    0.213952
       0.875          11     11.1629     10.9131    0.195954
       0.875          12     11.4527     10.9581    0.184712
       0.875          13     11.4346     10.9947    0.174103
       0.875          14     11.9415     11.0624    0.174308
