#      T         BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
       1.025          15     6.58187     6.87614   0.0719459
       1.025          16     6.87188     6.87587   0.0674498
       1.025          17     6.69001     6.86494   0.0643621
       1.025          18     7.09419     6.87768   0.0620338
       1.025          19     6.60418     6.86328   0.0604158
       1.025          20     7.14363      6.8773   0.0589988
        1.05           1     6.70692     6.70692           0
        1.05           2     6.63605     6.67148   0.0250558
        1.05           3     6.28425     6.54241    0.106707
        1.05           4     6.68178     6.57725   0.0855298
        1.05           5     6.43109     6.54802   0.0732489
        1.05           6     6.24943     6.49825   0.0760905
        1.05           7     6.65946     6.52128   0.0686168
        1.05           8     6.29709     6.49326   0.0655132
        1.05           9     6.28024     6.46959    0.062363
        1.05          10     6.64055     6.48669   0.0584232
        1.05          11     6.47711     6.48581   0.0531185
        1.05          12     6.29195     6.46966   0.0510895
        1.05          13     6.51029     6.47279   0.0472551
        1.05          14     6.42678      6.4695   0.0439938
        1.05          15     6.28974     6.45752   0.0426619
        1.05          16     6.41038     6.45457   0.0400971
        1.05          17     6.64936     6.46603   0.0393417
        1.05          18      6.3671     6.46053    0.037538
        1.05          19     6.78842     6.47779   0.0393295
        1.05          20     6.74508     6.49115   0.0395686
       1.075           1     5.97833     5.97833           0
       1.075           2     5.88722     5.93277   0.0322099
       1.075           3     5.74548     5.87034   0.0553139
       1.075           4     5.89508     5.87653   0.0418297
       1.075           5     6.22411     5.94604    0.070611
       1.075           6     5.74439     5.91243   0.0663607
       1.075           7     6.08815     5.93754   0.0614449
       1.075           8     6.24434     5.97589   0.0646336
       1.075           9     5.65911     5.94069   0.0663473
       1.075          10     6.09178      5.9558   0.0614089
       1.075          11     6.00669     5.96042   0.0560003
       1.075          12     6.00016     5.96374   0.0514314
       1.075          13     6.07589     5.97236   0.0481933
       1.075          14     5.75519     5.95685   0.0471815
       1.075          15     5.99343     5.95929    0.044099
       1.075          16     6.03968     5.96431   0.0416281
       1.075          17     6.09823     5.97219   0.0399177
       1.075          18      6.2332     5.98669   0.0402477
       1.075          19     5.83844     5.97889   0.0388785
       1.075          20     6.01675     5.98078   0.0369806
         1.1           1     5.56177     5.56177           0
         1.1           2     5.54707     5.55442  0.00519659
         1.1           3     5.51405     5.54096   0.0115199
         1.1           4      5.6774     5.57507   0.0307772
         1.1           5     5.28547     5.51715   0.0573585
         1.1           6     5.74329     5.55484   0.0588939
         1.1           7     5.57487      5.5577   0.0505499
         1.1           8     5.35069     5.53183   0.0504209
         1.1           9     5.83186     5.56516   0.0547409
         1.1          10     5.65287     5.57393   0.0499645
         1.1          11     5.36864     5.55527   0.0487836
         1.1          12     5.88892     5.58308   0.0520422
         1.1          13     5.62627      5.5864   0.0481449
         1.1          14     5.63988     5.59022   0.0448573
         1.1          15     5.89711     5.61068   0.0462981
         1.1          16     5.52355     5.60523   0.0437235
         1.1          17      5.5199     5.60021   0.0414386
         1.1          18     5.90072     5.61691   0.0423663
         1.1          19      5.5934     5.61567   0.0401546
         1.1          20     5.75174     5.62247   0.0387189
       1.125           1     5.10305     5.10305           0
       1.125           2     5.38495       5.244   0.0996662
       1.125           3      5.1702      5.2194   0.0694137
       1.125           4     5.46297     5.28029   0.0741024
       1.125           5     5.23854     5.27194   0.0597504
       1.125           6     4.93187     5.21526   0.0718069
       1.125           7     5.62356     5.27359   0.0818804
       1.125           8      5.2912     5.27579    0.071675
       1.125           9     5.42071     5.29189   0.0654949
       1.125          10     5.17713     5.28042   0.0599425
       1.125          11     5.09967     5.26399   0.0567007
       1.125          12     5.23285     5.26139    0.052035
       1.125          13     5.26631     5.26177   0.0480336
       1.125          14     5.08722      5.2493   0.0461924
       1.125          15     5.27861     5.25126   0.0431542
       1.125          16     5.41072     5.26122   0.0415921
       1.125          17     5.35355     5.26665   0.0394985
       1.125          18     5.30626     5.26885   0.0373654
       1.125          19     5.41924     5.27677   0.0362275
       1.125          20     5.44318     5.28509   0.0353587
        1.15           1     5.16254     5.16254           0
        1.15           2     5.00981     5.08617   0.0540008
        1.15           3     5.19036      5.1209   0.0458271
        1.15           4     4.74287     5.02639   0.0887705
        1.15           5     5.12153     5.04542   0.0730272
        1.15           6     4.96941     5.03275   0.0619453
        1.15           7     4.88886      5.0122   0.0564037
        1.15           8     4.96132     5.00584   0.0497105
        1.15           9     4.94042     4.99857   0.0447153
        1.15          10     4.87423     4.98613    0.041937
        1.15          11     4.93403      4.9814   0.0383911
        1.15          12     5.15053     4.99549   0.0376904
        1.15          13     4.79632     4.98017    0.037777
        1.15          14     4.87762     4.97285   0.0357818
        1.15          15     5.00888     4.97525   0.0334769
        1.15          16     5.25617     4.99281    0.035693
        1.15          17     4.76534     4.97943   0.0360142
        1.15          18     4.93423     4.97691   0.0341008
        1.15          19     5.01827     4.97909   0.0323755
        1.15          20     5.04144     4.98221   0.0309064
       1.175           1     4.65557     4.65557           0
       1.175           2     4.71037     4.68297   0.0193717
       1.175           3     4.93017     4.76537    0.068508
       1.175           4     4.60783     4.72599   0.0616718
       1.175           5     4.73483     4.72775   0.0493628
       1.175           6     4.72915     4.72799   0.0411362
       1.175           7     4.84515     4.74473   0.0385143
       1.175           8     4.69744     4.73881   0.0341505
       1.175           9     4.84167     4.75024   0.0322114
       1.175          10     4.37737     4.71296   0.0457355
       1.175          11     4.68673     4.71057   0.0416398
       1.175          12     4.69393     4.70918   0.0381929
       1.175          13     4.70597     4.70894   0.0352558
       1.175          14     4.62132     4.70268   0.0332883
       1.175          15      4.5424     4.69199   0.0327393
       1.175          16     4.53483     4.68217   0.0321329
       1.175          17     4.57922     4.67611   0.0308081
       1.175          18     4.76108     4.68084    0.029456
       1.175          19     4.77336     4.68571   0.0283053
       1.175          20     4.65378     4.68411    0.026935
         1.2           1     4.44822     4.44822           0
         1.2           2     4.26888     4.35855   0.0634074
         1.2           3     4.42463     4.38057   0.0459383
         1.2           4     4.41936     4.39027   0.0354624
         1.2           5     4.46298     4.40481   0.0312093
         1.2           6     4.33847     4.39376   0.0278978
         1.2           7     4.48403     4.40665   0.0267273
         1.2           8     4.43554     4.41026   0.0236291
         1.2           9     4.36541     4.40528   0.0215228
         1.2          10     4.44551      4.4093    0.019743
         1.2          11     4.48807     4.41646    0.019203
         1.2          12     4.24674     4.40232   0.0222088
         1.2          13     4.50078     4.40989   0.0217536
         1.2          14     4.35467     4.40595   0.0205542
         1.2          15     4.38283     4.40441   0.0192416
         1.2          16     4.48528     4.40946   0.0186912
         1.2          17     4.49642     4.41458   0.0182783
         1.2          18     4.73139     4.43218   0.0243018
         1.2          19     4.29014      4.4247   0.0241453
         1.2          20     4.38781     4.42286   0.0230084
       1.225           1     4.00019     4.00019           0
       1.225           2     4.28019     4.14019   0.0989961
       1.225           3     4.08957     4.12332   0.0674203
       1.225           4     4.08152     4.11287   0.0513684
       1.225           5     4.10406     4.11111   0.0411249
       1.225           6     4.11482     4.11172   0.0342754
       1.225           7     4.23314     4.12907   0.0334812
       1.225           8     4.03626     4.11747   0.0312412
       1.225           9     4.12842     4.11869   0.0277937
       1.225          10     4.09288     4.11611   0.0251338
       1.225          11     4.19744      4.1235   0.0239118
       1.225          12     3.97763     4.11134   0.0248174
       1.225          13     4.22851     4.12036   0.0244903
       1.225          14     4.10276      4.1191   0.0227732
       1.225          15     4.24087     4.12722   0.0226556
       1.225          16     4.36552     4.14211   0.0256727
       1.225          17     4.09394     4.13928   0.0243184
