#   T     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
       0.925          11     -0.7943   -0.793889 0.000606658
       0.925          12   -0.796616   -0.794116 0.000597148
       0.925          13    -0.79072   -0.793855 0.000605674
       0.925          14   -0.792968   -0.793792 0.000565716
       0.925          15   -0.791716   -0.793653 0.000544664
       0.925          16   -0.794264   -0.793692 0.000511958
       0.925          17    -0.79538   -0.793791 0.000491383
       0.925          18   -0.793688   -0.793785 0.000464117
       0.925          19   -0.796816   -0.793945 0.000466299
       0.925          20   -0.792652    -0.79388 0.000447441
        0.95           1   -0.783944   -0.783944           0
        0.95           2   -0.779588   -0.781766  0.00154008
        0.95           3   -0.781172   -0.781568  0.00103937
        0.95           4   -0.784772   -0.782369  0.00104349
        0.95           5   -0.781988   -0.782293 0.000837566
        0.95           6   -0.781052   -0.782086 0.000723051
        0.95           7   -0.781308   -0.781975 0.000628242
        0.95           8   -0.783332   -0.782145 0.000572158
        0.95           9   -0.785224   -0.782487 0.000602269
        0.95          10   -0.780016    -0.78224 0.000590548
        0.95          11   -0.785484   -0.782535 0.000606057
        0.95          12   -0.780504   -0.782365 0.000578693
        0.95          13    -0.78062   -0.782231 0.000549531
        0.95          14   -0.782124   -0.782223 0.000510332
        0.95          15   -0.783396   -0.782302  0.00048226
        0.95          16   -0.780172   -0.782169 0.000470127
        0.95          17   -0.784332   -0.782296 0.000459375
        0.95          18   -0.782092   -0.782284 0.000433994
        0.95          19   -0.782136   -0.782277 0.000411222
        0.95          20   -0.781956   -0.782261 0.000390974
       0.975           1   -0.774396   -0.774396           0
       0.975           2   -0.773952   -0.774174 0.000156978
       0.975           3    -0.77276   -0.773703 0.000398818
       0.975           4   -0.773752   -0.773715 0.000299304
       0.975           5   -0.774656   -0.773903 0.000292692
       0.975           6   -0.766776   -0.772715  0.00111146
       0.975           7   -0.773676   -0.772853 0.000961117
       0.975           8     -0.7709   -0.772609 0.000871417
       0.975           9   -0.771116   -0.772443 0.000790215
       0.975          10   -0.769372   -0.772136 0.000768542
       0.975          11   -0.772068   -0.772129 0.000698699
       0.975          12   -0.770912   -0.772028 0.000647798
       0.975          13    -0.77178   -0.772009 0.000598248
       0.975          14   -0.770964   -0.771934 0.000560153
       0.975          15   -0.771452   -0.771902 0.000523731
       0.975          16   -0.775112   -0.772103 0.000528025
       0.975          17   -0.772348   -0.772117 0.000497162
       0.975          18   -0.771056   -0.772058 0.000473024
       0.975          19   -0.772828   -0.772099  0.00044986
       0.975          20   -0.771832   -0.772085 0.000427565
           1           1   -0.761448   -0.761448           0
           1           2     -0.7618   -0.761624 0.000124451
