#      T        BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
       0.925           4    0.181132    0.190208  0.00761066
       0.925           5    0.175816    0.187329  0.00661044
       0.925           6     0.18839    0.187506  0.00551106
       0.925           7     0.18922    0.187751   0.0047292
       0.925           8    0.208292    0.190319  0.00478458
       0.925           9    0.111258    0.181534  0.00931026
       0.925          10    0.198992     0.18328  0.00854135
       0.925          11    0.215704    0.186227  0.00825783
       0.925          12    0.160706    0.184101  0.00783877
       0.925          13     0.18432    0.184118  0.00723581
       0.925          14    0.182668    0.184014  0.00671971
       0.925          15     0.17482    0.183401  0.00629962
       0.925          16    0.174076    0.182818  0.00593279
       0.925          17    0.180648    0.182691  0.00558518
       0.925          18      0.2102    0.184219     0.00548
       0.925          19    0.188502    0.184444  0.00519621
       0.925          20    0.124016    0.181423  0.00574809
        0.95           1    0.169642    0.169642           0
        0.95           2    0.171262    0.170452 0.000572756
        0.95           3    0.185006    0.175303  0.00397946
        0.95           4    0.195482    0.180348  0.00529096
        0.95           5    0.164116    0.177102    0.005133
        0.95           6    0.168414    0.175654  0.00447706
        0.95           7    0.181024    0.176421  0.00390266
        0.95           8     0.17931    0.176782   0.0034315
        0.95           9    0.176462    0.176746   0.0030504
        0.95          10     0.16409    0.175481  0.00299645
        0.95          11    0.153754    0.173506  0.00331165
        0.95          12    0.166738    0.172942  0.00308332
        0.95          13    0.149176    0.171114  0.00334448
        0.95          14    0.170096    0.171041  0.00310637
        0.95          15     0.14546    0.169335  0.00333471
        0.95          16     0.15057    0.168163  0.00332615
        0.95          17    0.160706    0.167724  0.00315929
        0.95          18    0.177146    0.168247  0.00302682
        0.95          19    0.155628    0.167583  0.00293948
        0.95          20     0.13844    0.166126  0.00313293
       0.975           1    0.165212    0.165212           0
       0.975           2      0.1935    0.179356   0.0100013
       0.975           3    0.166492    0.175068  0.00753088
       0.975           4    0.160332    0.171384  0.00648696
       0.975           5    0.162282    0.169564  0.00543899
       0.975           6      0.1596    0.167903  0.00477928
       0.975           7    0.154672    0.166013  0.00445464
       0.975           8    0.149008    0.163887  0.00437565
       0.975           9    0.153596    0.162744  0.00403611
       0.975          10     0.14371     0.16084  0.00405655
       0.975          11    0.156204    0.160419  0.00370961
       0.975          12    0.158114    0.160227  0.00340544
       0.975          13     0.16608    0.160677  0.00317311
       0.975          14    0.167178    0.161141  0.00298024
       0.975          15     0.13784    0.159588  0.00316059
       0.975          16    0.133636    0.157966  0.00335353
       0.975          17    0.156988    0.157908  0.00315675
       0.975          18    0.176192    0.158924  0.00314055
       0.975          19    0.157294    0.158838  0.00297643
       0.975          20    0.158484    0.158821  0.00282766
           1           1    0.119782    0.119782           0
           1           2    0.138638     0.12921   0.0066666
           1           3    0.139862    0.132761  0.00530637
           1           4     0.14825    0.136633  0.00520431
           1           5    0.148002    0.138907  0.00463362
           1           6    0.126494    0.136838  0.00429845
           1           7    0.149414    0.138635  0.00404243
           1           8    0.143874    0.139289  0.00358979
           1           9    0.126448    0.137863  0.00346289
           1          10    0.126716    0.136748  0.00329112
           1          11    0.160996    0.138952  0.00365638
           1          12    0.145138    0.139468  0.00338782
           1          13    0.143382    0.139769  0.00314057
           1          14    0.128214    0.138944  0.00302275
           1          15    0.155988     0.14008  0.00302728
           1          16    0.157868    0.141192  0.00303537
           1          17    0.126772    0.140343  0.00297297
           1          18    0.153054     0.14105  0.00289045
           1          19    0.142154    0.141108   0.0027389
           1          20    0.157384    0.141922  0.00272018
       1.025           1     0.13068     0.13068           0
       1.025           2    0.126562    0.128621  0.00145593
       1.025           3    0.153536    0.136926  0.00685012
       1.025           4    0.134464     0.13631  0.00516517
       1.025           5    0.144796    0.138008  0.00440212
       1.025           6    0.121204    0.135207  0.00447141
       1.025           7    0.137288    0.135504  0.00384251
       1.025           8     0.11336    0.132736  0.00424366
       1.025           9    0.117204     0.13101   0.0041081
       1.025          10    0.145492    0.132459  0.00394429
       1.025          11    0.136772    0.132851  0.00360516
       1.025          12    0.135952    0.133109  0.00331398
       1.025          13     0.10749    0.131138   0.0035976
       1.025          14    0.139436    0.131731   0.0033891
       1.025          15      0.1323    0.131769  0.00316337
       1.025          16    0.126132    0.131417  0.00298522
       1.025          17    0.110538    0.130189  0.00305182
       1.025          18    0.142494    0.130872  0.00295785
       1.025          19    0.136502    0.131169  0.00281698
