#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
       0.925          10    0.423792    0.433694   0.0028339
       0.925          11    0.434022    0.433723  0.00257643
       0.925          12    0.434753    0.433809  0.00236316
       0.925          13    0.421647    0.432874  0.00235931
       0.925          14    0.423261    0.432187  0.00228853
       0.925          15    0.431725    0.432156  0.00213616
       0.925          16    0.430819    0.432073  0.00200429
       0.925          17    0.425967    0.431714   0.0019183
       0.925          18    0.443182    0.432351   0.0019146
       0.925          19    0.426105    0.432022  0.00184184
       0.925          20    0.423343    0.431588  0.00180014
        0.95           1    0.434445    0.434445           0
        0.95           2    0.440217    0.437331  0.00204067
        0.95           3    0.431389     0.43535  0.00211345
        0.95           4    0.428137    0.433547  0.00222519
        0.95           5    0.427579    0.432353  0.00207571
        0.95           6    0.433626    0.432565  0.00174055
        0.95           7    0.430693    0.432298  0.00151231
        0.95           8    0.439771    0.433232  0.00158571
        0.95           9    0.428369    0.432692  0.00149877
        0.95          10    0.431322    0.432555  0.00135514
        0.95          11    0.425913    0.431951  0.00135983
        0.95          12    0.426322    0.431482  0.00132496
        0.95          13    0.434733    0.431732  0.00124642
        0.95          14    0.436923    0.432103  0.00121129
        0.95          15    0.425672    0.431674  0.00120402
        0.95          16    0.423913    0.431189  0.00122257
        0.95          17    0.415325    0.430256   0.0014641
        0.95          18    0.443903    0.431014  0.00156683
        0.95          19    0.440147    0.431495  0.00155636
        0.95          20    0.427011     0.43127   0.0014946
       0.975           1    0.434972    0.434972           0
       0.975           2    0.418407    0.426689  0.00585646
       0.975           3    0.423472    0.425617  0.00400129
       0.975           4    0.414279    0.422783  0.00387699
       0.975           5    0.421318     0.42249  0.00311264
       0.975           6    0.421059    0.422251  0.00260298
       0.975           7    0.416187    0.421385  0.00237091
       0.975           8     0.41503    0.420591  0.00220361
       0.975           9    0.421287    0.420668  0.00196013
       0.975          10    0.428706    0.421472  0.00192188
       0.975          11    0.422826    0.421595   0.0017511
       0.975          12    0.433136    0.422557  0.00185055
       0.975          13    0.419953    0.422356    0.001719
       0.975          14    0.434315    0.423211  0.00179596
       0.975          15    0.433198    0.423876  0.00179541
       0.975          16    0.416112    0.423391  0.00174756
       0.975          17     0.42236    0.423331  0.00164581
       0.975          18    0.430895    0.423751  0.00160713
       0.975          19    0.421297    0.423622  0.00152773
       0.975          20    0.420382     0.42346   0.0014599
           1           1    0.416527    0.416527           0
           1           2    0.414497    0.415512 0.000717805
           1           3    0.417543    0.416189 0.000731189
           1           4    0.427779    0.419087  0.00256864
           1           5    0.426105     0.42049  0.00240809
           1           6    0.424382    0.421139  0.00209227
           1           7    0.423964    0.421542  0.00183187
           1           8    0.415344    0.420768  0.00175912
           1           9    0.431918    0.422007  0.00195178
           1          10    0.425303    0.422336  0.00178422
           1          11    0.413776    0.421558  0.00178367
           1          12    0.415525    0.421055  0.00170442
           1          13     0.41637    0.420695  0.00161096
           1          14    0.421166    0.420728  0.00149624
           1          15      0.4175    0.420513  0.00141189
           1          16    0.419506     0.42045  0.00132505
           1          17    0.421666    0.420522  0.00124904
           1          18    0.432353    0.421179  0.00134149
           1          19     0.41319    0.420759  0.00133516
           1          20    0.416716    0.420556  0.00128361
       1.025           1     0.41699     0.41699           0
       1.025           2    0.416539    0.416765 0.000159578
       1.025           3    0.419941    0.417823 0.000870849
       1.025           4    0.431557    0.421257  0.00304438
       1.025           5    0.407536    0.418513  0.00345779
       1.025           6    0.410457     0.41717  0.00313133
       1.025           7    0.416106    0.417018  0.00268769
       1.025           8    0.415847    0.416872  0.00235571
       1.025           9    0.419092    0.417118  0.00210685
       1.025          10     0.40592    0.415998  0.00217348
       1.025          11     0.40626    0.415113  0.00214865
       1.025          12    0.414931    0.415098  0.00196965
       1.025          13    0.414331    0.415039  0.00181902
       1.025          14    0.419817     0.41538  0.00172081
       1.025          15    0.403861    0.414612  0.00176916
       1.025          16    0.405152    0.414021  0.00175461
       1.025          17    0.414992    0.414078  0.00165233
       1.025          18    0.397624    0.413164  0.00179567
       1.025          19    0.422117    0.413635   0.0017619
       1.025          20    0.409279    0.413417  0.00168721
        1.05           1    0.409501    0.409501           0
        1.05           2    0.416917    0.413209   0.0026221
        1.05           3    0.406603    0.411007  0.00250773
        1.05           4    0.415372    0.412098  0.00210485
        1.05           5    0.409624    0.411603  0.00174109
        1.05           6    0.411721    0.411623  0.00145102
        1.05           7    0.401508    0.410178  0.00182664
        1.05           8    0.413993    0.410655  0.00165938
        1.05           9    0.401448    0.409632  0.00176235
        1.05          10    0.417104    0.410379  0.00173731
        1.05          11    0.404591    0.409853  0.00165715
        1.05          12    0.399051    0.408953  0.00174652
        1.05          13    0.397877    0.408101  0.00180808
        1.05          14    0.411797    0.408365   0.0016981
        1.05          15    0.414634    0.408783  0.00163553
        1.05          16     0.39335    0.407818  0.00179532
        1.05          17    0.414469    0.408209  0.00173181
        1.05          18    0.406812    0.408132  0.00163734
        1.05          19    0.409134    0.408185  0.00155201
        1.05          20    0.421201    0.408835  0.00160508
       1.075           1    0.394172    0.394172           0
       1.075           2    0.395028      0.3946 0.000302463
       1.075           3    0.404316    0.397839  0.00265205
       1.075           4    0.420371    0.403472  0.00526838
       1.075           5    0.399703    0.402718  0.00426829
       1.075           6    0.409498    0.403848  0.00370347
       1.075           7    0.409949     0.40472  0.00327537
       1.075           8    0.394504    0.403443  0.00310489
       1.075           9    0.403448    0.403443   0.0027599
       1.075          10    0.402095    0.403308   0.0024872
       1.075          11    0.400545    0.403057  0.00227375
       1.075          12    0.393394    0.402252  0.00222229
       1.075          13    0.400632    0.402127  0.00205483
       1.075          14     0.39853     0.40187  0.00192406
       1.075          15    0.395861     0.40147  0.00183702
       1.075          16    0.408762    0.401925  0.00177785
       1.075          17    0.410765    0.402445  0.00174766
       1.075          18    0.412546    0.403007  0.00173832
       1.075          19     0.40263    0.402987  0.00164694
       1.075          20    0.408608    0.403268   0.0015884
         1.1           1    0.393141    0.393141           0
         1.1           2    0.384962    0.389052   0.0028918
         1.1           3    0.395181    0.391095  0.00254938
         1.1           4    0.402266    0.393888  0.00308306
         1.1           5    0.393917    0.393894  0.00246645
         1.1           6    0.392348    0.393636  0.00206878
         1.1           7    0.398655    0.394353  0.00189343
         1.1           8    0.390815    0.393911  0.00170763
         1.1           9    0.396586    0.394208  0.00154355
         1.1          10    0.405844    0.395372  0.00177441
         1.1          11    0.393529    0.395204  0.00162099
         1.1          12     0.40317    0.395868  0.00161612
         1.1          13    0.395025    0.395803   0.0014931
         1.1          14    0.402107    0.396253  0.00145276
         1.1          15    0.399486    0.396469   0.0013718
         1.1          16    0.399788    0.396676  0.00130165
         1.1          17    0.396398     0.39666  0.00122519
         1.1          18    0.410035    0.397403  0.00136397
         1.1          19    0.388557    0.396937  0.00136934
         1.1          20    0.403062    0.397244  0.00133468
       1.125           1    0.376967    0.376967           0
       1.125           2    0.394623    0.385795  0.00624218
       1.125           3     0.39171    0.387767  0.00446204
       1.125           4    0.393887    0.389297  0.00359936
       1.125           5    0.391141    0.389666  0.00289833
       1.125           6    0.380517    0.388141  0.00278764
       1.125           7    0.390552    0.388485   0.0024106
       1.125           8    0.396311    0.389464  0.00229917
       1.125           9    0.396298    0.390223  0.00216547
       1.125          10    0.385742    0.389775  0.00199476
       1.125          11    0.382247     0.38909  0.00192723
       1.125          12     0.40086    0.390071   0.0020007
       1.125          13    0.376351    0.389016  0.00210685
       1.125          14     0.38439    0.388685   0.0019821
       1.125          15    0.396749    0.389223  0.00192148
       1.125          16    0.382287    0.388789  0.00184964
       1.125          17    0.394194    0.389107  0.00176795
       1.125          18    0.390546    0.389187  0.00167153
       1.125          19    0.395477    0.389518  0.00161601
       1.125          20    0.392064    0.389646  0.00154021
        1.15           1    0.394973    0.394973           0
        1.15           2    0.377727     0.38635  0.00609743
        1.15           3    0.387694    0.386798  0.00408137
        1.15           4    0.385538    0.386483  0.00307315
        1.15           5    0.385499    0.386286  0.00246482
        1.15           6    0.380447    0.385313  0.00223789
        1.15           7    0.389972    0.385979  0.00201474
        1.15           8    0.380627     0.38531  0.00187067
        1.15           9    0.391583    0.386007  0.00178797
        1.15          10    0.379591    0.385365  0.00172045
        1.15          11    0.390224    0.385807  0.00161975
        1.15          12    0.388187    0.386005  0.00149686
        1.15          13    0.377606    0.385359  0.00151476
        1.15          14    0.375277    0.384639  0.00156844
        1.15          15    0.385881    0.384722  0.00146606
        1.15          16    0.391666    0.385156  0.00143724
        1.15          17    0.379581    0.384828   0.0013896
        1.15          18    0.387371    0.384969  0.00131956
        1.15          19    0.375265    0.384458  0.00134533
        1.15          20    0.372537    0.383862  0.00140392
       1.175           1    0.389589    0.389589           0
       1.175           2    0.378074    0.383832  0.00407103
       1.175           3    0.396441    0.388035  0.00437539
       1.175           4    0.370496     0.38365  0.00501875
       1.175           5    0.383126    0.383545   0.0040161
       1.175           6    0.368339    0.381011  0.00406857
       1.175           7    0.373519    0.379941  0.00362537
       1.175           8    0.378837    0.379803  0.00317482
